country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Serbia,,,,,,,480,,,,,5200,5100,5000,4800,4600,4300,4000,3700,3500,3300,3200,3100,3000,2900,2900,2900,3000,3100,3200,3400,3500,3500
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150k
Sao Tome and Principe,,,,,,,,,,,,160,160,350,350,350,350,350,350,350,600,600,600,600,600,1000,1000,1000,1000,1000,1000,1000,600
Suriname,,20,,,,,,,,,,3500,4600,5700,6700,7500,8200,8600,8800,8800,8700,8400,7900,7400,6800,6300,5800,5300,4800,4400,4000,3700,3400
Slovak Republic,,,,,,,,,,,,60,60,60,60,60,60,60,60,160,160,160,160,160,160,350,350,350,350,350,350,350,350
Slovenia,,,,,,,,,,,,60,60,60,60,60,60,160,160,160,160,350,350,350,350,350,350,350,350,350,600,600,600
Sweden,,,,,830,,,,,,,3100,3800,4400,4900,5300,5600,5900,6100,6300,6500,6700,6900,7200,7400,7600,7800,8000,8200,8400,8600,8900,9100
Eswatini,,,,34,,,,,,,,12k,17k,22k,30k,39k,49k,61k,75k,88k,100k,110k,120k,130k,140k,150k,160k,160k,170k,170k,180k,180k,190k
Chad,795,,,,,,,,,,,71k,82k,93k,100k,110k,130k,140k,140k,150k,160k,170k,170k,180k,180k,190k,190k,190k,200k,200k,200k,210k,210k
Togo,129,,,,,,,,,,,34k,40k,46k,52k,60k,68k,77k,87k,97k,110k,120k,120k,130k,140k,140k,140k,150k,150k,150k,150k,150k,150k
Thailand,,,,,,,3060,,,,,300k,440k,550k,630k,680k,700k,710k,710k,690k,680k,650k,630k,610k,590k,570k,560k,550k,540k,530k,520k,510k,490k
Tajikistan,,,,,,,,,,,,600,600,600,1000,1300,1600,2100,2700,3400,4100,4800,5400,6000,6500,7000,7400,7800,8200,8700,9200,9800,11k
Trinidad and Tobago,,,,70,,,,,,,,1500,2100,2900,3800,4900,6000,7100,8100,9100,9900,11k,11k,11k,12k,12k,12k,13k,13k,13k,13k,13k,13k
Tunisia,,,,,,,,,,,,60,60,60,160,160,350,350,350,350,350,600,600,600,600,600,600,1000,1100,1300,1400,1500,1700
Turkey,,,,,,,,,,,,160,350,350,350,350,600,600,600,1100,1300,1500,1800,2100,2400,2700,3100,3400,3800,4200,4600,5000,5500
Tanzania,770,,,,,,,,,,,660k,820k,980k,1.1M,1.2M,1.3M,1.4M,1.4M,1.4M,1.5M,1.5M,1.4M,1.4M,1.4M,1.4M,1.4M,1.4M,1.4M,1.4M,1.5M,1.5M,1.6M
Uganda,510,,,,,,,,,,,1.2M,1.2M,1.2M,1.2M,1.2M,1.2M,1.1M,1.1M,1.1M,1M,1M,990k,980k,990k,1M,1M,1.1M,1.1M,1.2M,1.3M,1.3M,1.4M
Ukraine,,,,,,,,,,,,350,1400,3900,8900,18k,34k,63k,110k,160k,200k,230k,250k,260k,280k,290k,300k,310k,320k,300k,280k,250k,230k
Uruguay,131,,,,,,,,,,,1800,2400,3200,4200,5200,6300,7400,8500,9400,10k,11k,11k,11k,11k,12k,12k,12k,12k,12k,12k,12k,12k
United States,39.6k,,,,,,,,,,,810k,830k,830k,840k,830k,830k,840k,870k,910k,950k,980k,1M,1M,1.1M,1.1M,1.1M,1.2M,1.2M,1.2M,1.3M,1.3M,1.3M
Venezuela,,,,,,,,,,,,21k,24k,27k,31k,34k,37k,41k,44k,48k,51k,54k,58k,61k,65k,69k,74k,78k,82k,86k,91k,95k,99k
Vietnam,,,,,,,,,,,,60,350,600,1000,1900,3500,6900,13k,30k,58k,84k,110k,130k,160k,180k,190k,210k,220k,230k,230k,240k,250k
Yemen,,,,,,,,,,,,350,600,600,1100,1500,2100,2800,3700,4900,6500,8500,10k,12k,14k,15k,16k,17k,18k,19k,20k,21k,22k
South Africa,,,2090,,,,,,,,,100k,170k,290k,470k,750k,1.2M,1.7M,2.3M,2.9M,3.5M,4M,4.4M,4.7M,4.9M,5M,5.2M,5.2M,5.3M,5.4M,5.4M,5.5M,5.6M
Zambia,240,,,,,,,,,,,560k,610k,650k,680k,700k,730k,750k,770k,790k,820k,840k,860k,880k,900k,910k,920k,920k,930k,940k,950k,960k,970k
Zimbabwe,330,,,,,,,,,,,720k,880k,1M,1.2M,1.4M,1.6M,1.7M,1.8M,1.9M,1.9M,1.9M,1.8M,1.7M,1.7M,1.6M,1.5M,1.4M,1.3M,1.3M,1.2M,1.2M,1.2M
