year,week,region,cases
1996,44,Zinder,32
1996,45,Agadez,0
1996,45,Diffa,0
1996,45,Dosso,2
1996,45,Maradi,102
1996,45,Niamey,0
1996,45,Tahoua,13
1996,45,Tillaberi,0
1996,45,Zinder,26
1996,46,Agadez,0
1996,46,Diffa,0
1996,46,Dosso,0
1996,46,Maradi,128
1996,46,Niamey,0
1996,46,Tahoua,9
1996,46,Tillaberi,2
1996,46,Zinder,19
1996,47,Agadez,0
1996,47,Diffa,0
1996,47,Dosso,0
1996,47,Maradi,137
1996,47,Niamey,1
1996,47,Tahoua,6
1996,47,Tillaberi,0
1996,47,Zinder,46
1996,48,Agadez,0
1996,48,Diffa,0
1996,48,Dosso,0
1996,48,Maradi,156
1996,48,Niamey,0
1996,48,Tahoua,9
1996,48,Tillaberi,1
1996,48,Zinder,37
1996,49,Agadez,0
1996,49,Diffa,0
1996,49,Dosso,0
1996,49,Maradi,185
1996,49,Niamey,0
1996,49,Tahoua,49
1996,49,Tillaberi,0
1996,49,Zinder,62
1996,50,Agadez,1
1996,50,Diffa,0
1996,50,Dosso,12
1996,50,Maradi,181
1996,50,Niamey,0
1996,50,Tahoua,134
1996,50,Tillaberi,0
1996,50,Zinder,56
1996,51,Agadez,0
1996,51,Diffa,0
1996,51,Dosso,10
1996,51,Maradi,201
1996,51,Niamey,0
1996,51,Tahoua,91
1996,51,Tillaberi,0
1996,51,Zinder,102
1996,52,Agadez,0
1996,52,Diffa,0
1996,52,Dosso,0
1996,52,Maradi,207
1996,52,Niamey,0
1996,52,Tahoua,20
1996,52,Tillaberi,0
1996,52,Zinder,120
1997,1,Agadez,4
1997,1,Diffa,0
1997,1,Dosso,10
1997,1,Maradi,226
1997,1,Niamey,0
1997,1,Tahoua,7
1997,1,Tillaberi,5
1997,1,Zinder,132
1997,2,Agadez,0
1997,2,Diffa,0
1997,2,Dosso,47
1997,2,Maradi,210
1997,2,Niamey,0
1997,2,Tahoua,117
1997,2,Tillaberi,4
1997,2,Zinder,166
1997,3,Agadez,0
1997,3,Diffa,0
1997,3,Dosso,35
1997,3,Maradi,410
1997,3,Niamey,2
1997,3,Tahoua,83
1997,3,Tillaberi,5
1997,3,Zinder,209
1997,4,Agadez,0
1997,4,Diffa,0
1997,4,Dosso,4
1997,4,Maradi,351
1997,4,Niamey,12
